deal_id,account_id,lead_source,created_date,deal_value,discount_pct,competitor_mentioned,stage,close_date,deal_status
D00001,A00670,referral,2026-01-30,480,15,Canva,demo,2026-02-10,won
D00002,A01490,outbound,2025-05-15,180,0,Canva,negotiation,2025-06-23,lost
D00003,A01898,website,2025-07-04,720,20,Figma,demo,2025-07-21,won
D00004,A01675,website,2025-05-11,240,0,Adobe Express,demo,2025-05-18,lost
D00005,A00221,website,2025-01-23,60,0,Canva,demo,2025-02-23,lost
D00006,A00273,website,2025-03-18,1200,25,None,demo,2025-05-09,lost
D00007,A01178,referral,2026-01-15,3600,10,None,negotiation,2026-02-17,won
D00008,A01273,referral,2026-01-04,480,0,Adobe Express,proposal,2026-01-18,lost
D00009,A00279,referral,2025-09-15,60,0,Canva,negotiation,2025-10-25,won
D00010,A01464,website,2025-01-24,1200,20,Canva,proposal,2025-03-21,lost
D00011,A01972,referral,2026-03-09,120,0,Canva,proposal,2026-03-16,won
D00012,A00816,website,2025-07-08,120,20,Canva,demo,2025-08-31,lost
D00013,A00276,referral,2025-11-15,120,10,Figma,demo,2025-12-23,lost
D00014,A01005,ads,2026-01-31,1800,10,Canva,demo,2026-03-05,won
D00015,A00514,website,2025-01-13,180,10,Canva,demo,2025-03-05,lost
D00016,A01112,ads,2025-01-05,240,15,Canva,proposal,2025-02-27,lost
D00017,A01823,outbound,2025-06-07,1800,25,Adobe Express,demo,2025-07-10,lost
D00018,A00923,website,2025-09-09,60,10,Canva,demo,2025-09-30,won
D00019,A00642,website,2026-03-09,720,10,None,negotiation,2026-05-02,won
D00020,A00505,referral,2025-02-13,60,20,Adobe Express,negotiation,2025-04-13,won
D00021,A00590,referral,2025-07-21,1200,20,Figma,demo,2025-08-05,lost
D00022,A00772,referral,2025-05-02,480,10,Canva,proposal,2025-06-03,lost
D00023,A01265,website,2025-12-25,480,10,Canva,negotiation,2026-01-15,won
D00024,A01677,outbound,2025-02-08,360,20,Canva,demo,2025-02-21,won
D00025,A00740,referral,2025-03-26,720,10,Canva,proposal,2025-05-06,won
D00026,A00675,ads,2025-07-03,720,10,Canva,demo,2025-07-17,lost
D00027,A01260,website,2025-02-16,480,20,None,demo,2025-04-17,won
D00028,A01014,referral,2025-06-17,1200,10,None,demo,2025-07-19,lost
D00029,A00128,website,2025-09-20,2400,15,Canva,demo,2025-10-08,lost
D00030,A00503,outbound,2025-01-16,120,20,None,proposal,2025-02-07,lost
D00031,A01224,website,2025-02-18,240,0,None,proposal,2025-02-28,won
D00032,A01986,referral,2026-03-02,360,0,None,demo,2026-04-01,lost
D00033,A00902,referral,2025-12-18,180,0,Canva,negotiation,2026-01-10,lost
D00034,A00543,ads,2026-02-21,240,0,None,demo,2026-04-10,won
D00035,A01526,referral,2025-08-16,240,10,Canva,demo,2025-09-21,won
D00036,A01674,website,2025-01-26,720,15,Adobe Express,demo,2025-02-26,lost
D00037,A00492,website,2025-12-16,360,10,Adobe Express,proposal,2026-01-03,won
D00038,A01045,website,2025-05-21,720,0,Figma,proposal,2025-07-06,won
D00039,A01258,website,2025-11-12,480,15,Adobe Express,demo,2025-12-24,won
D00040,A00714,referral,2025-09-03,60,10,Adobe Express,demo,2025-10-06,won
D00041,A00791,referral,2025-04-13,360,20,Canva,negotiation,2025-05-14,lost
D00042,A01667,outbound,2026-02-05,2400,20,None,negotiation,2026-03-15,lost
D00043,A00416,outbound,2025-06-26,480,15,None,negotiation,2025-07-04,won
D00044,A00148,outbound,2025-06-13,60,0,Piktochart,negotiation,2025-08-08,lost
D00045,A00970,website,2025-05-24,120,20,Adobe Express,demo,2025-07-07,won
D00046,A00029,referral,2025-04-30,1200,10,Canva,demo,2025-05-24,lost
D00047,A01385,referral,2025-10-01,60,0,Canva,negotiation,2025-11-28,lost
D00048,A00308,outbound,2025-07-18,1800,10,Adobe Express,proposal,2025-08-14,won
D00049,A01907,referral,2026-02-17,480,20,None,negotiation,2026-04-09,won
D00050,A01966,referral,2025-06-30,180,0,Canva,negotiation,2025-07-19,lost
D00051,A00162,website,2026-03-05,180,10,None,proposal,2026-03-14,won
D00052,A00869,referral,2025-02-16,360,20,Adobe Express,demo,2025-03-28,won
D00053,A00852,website,2025-09-02,480,20,Adobe Express,demo,2025-09-17,won
D00054,A00061,website,2025-06-24,1800,15,Piktochart,negotiation,2025-07-10,won
D00055,A00125,ads,2025-10-28,360,0,Figma,negotiation,2025-11-27,lost
D00056,A01480,outbound,2025-02-07,3600,25,Adobe Express,proposal,2025-03-05,won
D00057,A01095,outbound,2025-06-15,360,15,Adobe Express,demo,2025-07-23,lost
D00058,A00838,outbound,2025-11-29,60,20,Canva,proposal,2026-01-14,lost
D00059,A01931,website,2026-02-07,360,20,Adobe Express,proposal,2026-03-10,lost
D00060,A01900,referral,2025-06-07,180,10,Canva,negotiation,2025-07-30,won
D00061,A00466,outbound,2025-01-01,720,20,Canva,negotiation,2025-02-15,won
D00062,A00243,website,2025-06-12,360,20,Piktochart,negotiation,2025-07-20,won
D00063,A01514,referral,2025-03-14,240,0,Figma,proposal,2025-04-10,won
D00064,A01785,referral,2025-03-27,1200,15,None,negotiation,2025-04-19,won
D00065,A01245,referral,2025-04-18,180,0,Canva,demo,2025-06-14,won
D00066,A00473,website,2025-02-25,240,0,Canva,negotiation,2025-04-19,won
D00067,A00959,ads,2025-08-03,3600,20,Canva,demo,2025-09-01,lost
D00068,A00533,referral,2025-10-07,1200,20,Canva,proposal,2025-11-19,lost
D00069,A00494,ads,2025-11-30,60,0,Canva,negotiation,2026-01-27,won
D00070,A00899,ads,2026-03-10,480,0,Canva,demo,2026-03-23,won
D00071,A00082,website,2025-02-07,1800,20,Canva,proposal,2025-02-18,won
D00072,A00856,ads,2025-10-08,480,20,None,demo,2025-11-14,lost
D00073,A00879,website,2025-12-27,3600,10,Canva,demo,2026-01-30,lost
D00074,A01546,outbound,2025-03-22,240,10,Canva,demo,2025-04-10,won
D00075,A00923,website,2025-07-29,180,20,Canva,negotiation,2025-08-23,won
D00076,A00012,website,2025-06-02,60,0,Canva,demo,2025-07-14,won
D00077,A01287,website,2026-03-07,360,0,Canva,proposal,2026-04-10,won
D00078,A01681,ads,2025-02-14,720,0,Canva,proposal,2025-03-06,won
D00079,A00449,outbound,2025-03-29,480,0,Canva,negotiation,2025-04-12,lost
D00080,A01216,outbound,2025-06-07,720,15,Canva,proposal,2025-06-30,lost
D00081,A00762,outbound,2025-02-16,720,0,Canva,negotiation,2025-03-19,won
D00082,A01138,ads,2025-07-09,720,0,Canva,demo,2025-08-14,won
D00083,A00026,website,2025-05-15,120,20,None,demo,2025-07-09,won
D00084,A01807,referral,2025-12-23,1200,0,Canva,negotiation,2026-02-19,lost
D00085,A01523,ads,2025-10-05,360,20,Canva,proposal,2025-11-05,won
D00086,A00508,website,2026-02-24,120,20,None,negotiation,2026-04-02,lost
D00087,A01569,website,2025-10-21,120,10,None,demo,2025-12-12,won
D00088,A00062,website,2025-01-18,180,20,Piktochart,negotiation,2025-03-09,lost
D00089,A00229,referral,2025-11-14,240,15,None,demo,2025-12-01,won
D00090,A01839,referral,2025-04-19,360,0,Canva,demo,2025-06-08,won
D00091,A00607,outbound,2025-08-11,180,0,Canva,demo,2025-09-03,lost
D00092,A01059,outbound,2025-06-13,240,0,None,negotiation,2025-07-15,won
D00093,A01729,referral,2025-10-10,120,20,Piktochart,proposal,2025-10-17,won
D00094,A01480,website,2026-02-07,3600,0,Adobe Express,negotiation,2026-02-23,lost
D00095,A01612,referral,2025-10-18,240,0,Adobe Express,negotiation,2025-10-31,lost
D00096,A00891,website,2026-02-07,180,10,Piktochart,proposal,2026-03-02,lost
D00097,A01526,website,2025-07-16,720,20,Figma,negotiation,2025-07-25,lost
D00098,A00761,website,2025-03-30,120,0,None,proposal,2025-05-19,lost
D00099,A00595,website,2025-12-22,60,15,Adobe Express,proposal,2026-01-19,lost
D00100,A01049,website,2025-12-20,240,15,Piktochart,demo,2026-01-19,lost
D00101,A01593,website,2025-01-11,480,10,Piktochart,proposal,2025-02-18,won
D00102,A01056,website,2025-12-23,60,0,Piktochart,negotiation,2026-02-15,won
D00103,A01855,website,2025-08-15,120,15,Canva,proposal,2025-08-27,lost
D00104,A01036,referral,2025-04-07,60,15,Canva,proposal,2025-06-01,lost
D00105,A01343,website,2025-09-22,240,20,None,proposal,2025-10-03,lost
D00106,A01869,ads,2025-06-09,3600,10,Piktochart,negotiation,2025-07-19,lost
D00107,A01628,website,2025-10-19,1800,10,Canva,demo,2025-11-07,lost
D00108,A00001,outbound,2026-03-05,360,0,Canva,demo,2026-04-04,won
D00109,A01459,ads,2025-12-27,2400,15,Canva,demo,2026-02-04,lost
D00110,A01862,ads,2025-07-23,60,0,Adobe Express,negotiation,2025-08-30,won
D00111,A01160,outbound,2025-11-01,60,15,Canva,proposal,2025-11-30,lost
D00112,A01220,ads,2025-06-26,480,0,Canva,demo,2025-07-27,won
D00113,A00133,outbound,2025-01-26,180,0,None,demo,2025-03-15,lost
D00114,A00086,website,2025-04-26,360,10,Adobe Express,negotiation,2025-06-04,lost
D00115,A01500,referral,2025-01-11,240,15,Canva,negotiation,2025-02-28,lost
D00116,A01831,referral,2025-03-30,60,0,Canva,negotiation,2025-05-27,won
D00117,A01815,website,2025-06-06,180,10,Figma,negotiation,2025-07-07,won
D00118,A01348,outbound,2025-06-28,480,0,Canva,proposal,2025-08-17,lost
D00119,A01204,ads,2025-09-24,120,20,None,negotiation,2025-11-02,won
D00120,A00516,referral,2025-12-06,180,20,Adobe Express,proposal,2026-01-01,lost
D00121,A01662,website,2025-12-17,120,0,Figma,demo,2026-01-10,won
D00122,A00175,outbound,2025-11-24,120,10,Canva,proposal,2026-01-11,lost
D00123,A00763,outbound,2025-06-02,360,20,Canva,demo,2025-06-12,lost
D00124,A01045,website,2026-02-17,720,10,Figma,negotiation,2026-04-11,lost
D00125,A00997,outbound,2025-01-14,3600,15,Adobe Express,negotiation,2025-02-16,won
D00126,A01976,referral,2025-07-27,240,20,None,proposal,2025-09-08,lost
D00127,A01129,referral,2026-02-22,120,0,Figma,demo,2026-04-10,lost
D00128,A00578,website,2026-02-06,180,10,Canva,proposal,2026-02-23,lost
D00129,A01467,website,2026-03-07,360,10,Adobe Express,negotiation,2026-03-22,won
D00130,A01799,outbound,2026-01-15,360,10,Canva,proposal,2026-02-05,lost
D00131,A00049,website,2025-07-01,2400,20,Canva,demo,2025-07-29,lost
D00132,A00528,website,2025-07-10,180,10,None,proposal,2025-07-24,won
D00133,A00145,outbound,2025-08-29,180,20,Canva,demo,2025-10-14,lost
D00134,A01364,outbound,2025-02-06,60,20,Piktochart,proposal,2025-03-28,won
D00135,A00762,outbound,2025-07-15,480,15,Canva,negotiation,2025-07-31,won
D00136,A01879,referral,2025-03-12,120,15,Canva,demo,2025-04-17,lost
D00137,A01378,ads,2025-03-15,180,0,Figma,proposal,2025-04-22,lost
D00138,A01099,referral,2025-06-20,360,10,Canva,negotiation,2025-06-27,lost
D00139,A01826,website,2025-08-20,60,0,Canva,proposal,2025-09-06,lost
D00140,A00929,ads,2025-09-08,360,20,Canva,demo,2025-10-12,lost
D00141,A00794,website,2025-07-26,120,15,None,proposal,2025-09-05,won
D00142,A01602,referral,2025-04-13,120,0,Piktochart,negotiation,2025-06-07,lost
D00143,A01661,website,2026-03-03,360,0,Adobe Express,negotiation,2026-04-19,lost
D00144,A00319,referral,2026-01-11,360,10,Piktochart,demo,2026-01-24,won
D00145,A01111,website,2025-07-16,2400,10,Adobe Express,negotiation,2025-07-25,won
D00146,A01577,outbound,2025-06-02,720,20,Adobe Express,proposal,2025-06-30,lost
D00147,A00698,referral,2025-08-11,1800,15,Canva,negotiation,2025-09-18,lost
D00148,A01890,website,2025-07-03,60,15,Figma,demo,2025-07-24,won
D00149,A01916,outbound,2026-01-08,60,0,None,demo,2026-01-25,lost
D00150,A00847,outbound,2025-03-05,180,0,Adobe Express,proposal,2025-04-21,won
D00151,A01802,ads,2025-05-11,1200,25,Canva,negotiation,2025-06-29,lost
D00152,A00783,referral,2025-02-25,1200,0,Canva,negotiation,2025-03-30,lost
