note_id,deal_id,account_id,note_date,note_text,category,subcategory,matched_terms,confidence
N00001,D00001,A00670,2026-02-07,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00002,D00001,A00670,2026-02-13,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00003,D00001,A00670,2026-02-25,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00004,D00002,A01490,2025-05-26,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00005,D00003,A01898,2025-07-10,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00006,D00004,A01675,2025-05-31,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00007,D00005,A00221,2025-01-24,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00008,D00005,A00221,2025-01-28,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00009,D00005,A00221,2025-02-11,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00010,D00006,A00273,2025-04-06,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00011,D00006,A00273,2025-04-03,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N00012,D00006,A00273,2025-04-15,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00013,D00007,A01178,2026-01-30,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00014,D00007,A01178,2026-01-21,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00015,D00008,A01273,2026-01-23,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N00016,D00009,A00279,2025-09-22,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00017,D00010,A01464,2025-02-15,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00018,D00011,A01972,2026-03-13,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00019,D00012,A00816,2025-07-27,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00020,D00012,A00816,2025-07-26,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00021,D00013,A00276,2025-11-25,Customer raised concerns that Figma is already adopted by the team.,Competitive,competitor_switch,figma,0.6
N00022,D00013,A00276,2025-12-06,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00023,D00014,A01005,2026-02-25,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00024,D00014,A01005,2026-02-02,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00025,D00015,A00514,2025-02-12,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00026,D00015,A00514,2025-01-18,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00027,D00016,A01112,2025-01-31,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00028,D00017,A01823,2025-07-04,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N00029,D00017,A01823,2025-06-30,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N00030,D00018,A00923,2025-09-28,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00031,D00018,A00923,2025-09-10,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00032,D00019,A00642,2026-04-04,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00033,D00019,A00642,2026-03-15,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00034,D00020,A00505,2025-03-13,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00035,D00020,A00505,2025-02-25,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00036,D00021,A00590,2025-07-29,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00037,D00021,A00590,2025-08-16,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00038,D00022,A00772,2025-05-27,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00039,D00022,A00772,2025-05-20,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00040,D00022,A00772,2025-05-10,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00041,D00023,A01265,2026-01-16,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00042,D00024,A01677,2025-02-22,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00043,D00025,A00740,2025-04-24,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00044,D00026,A00675,2025-07-25,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00045,D00026,A00675,2025-07-10,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00046,D00027,A01260,2025-03-02,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00047,D00028,A01014,2025-07-15,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00048,D00028,A01014,2025-07-16,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00049,D00028,A01014,2025-07-08,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00050,D00029,A00128,2025-09-21,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
