account_id,monthly_revenue,plan_type,region,industry,churn_probability,risk_tier,estimated_monthly_revenue_at_risk,risk_threshold_default
A00719,450,team,Asia,marketing_agency,0.6536101614093648,High,294.12,0.5
A00784,450,team,North America,real_estate,0.6189196376538948,High,278.51,0.5
A00014,450,team,Europe,tech_startup,0.5889149455858339,High,265.01,0.5
A00311,450,team,Asia,media,0.5145272899717117,High,231.54,0.5
A00479,300,team,North America,marketing_agency,0.6581929085164603,High,197.46,0.5
A01371,300,team,North America,marketing_agency,0.6170102113666369,High,185.1,0.5
A01802,300,team,North America,ecommerce,0.5854071952283288,High,175.62,0.5
A01574,300,team,Asia,marketing_agency,0.5579334487476594,High,167.38,0.5
A00277,300,team,North America,ecommerce,0.5451205016716656,High,163.54,0.5
A00849,450,team,Latin America,marketing_agency,0.3598740999172141,Medium,161.94,0.5
A00257,450,team,Asia,education,0.359806456522321,Medium,161.91,0.5
A01688,450,team,North America,marketing_agency,0.329862902029876,Medium,148.44,0.5
A01051,450,team,North America,ecommerce,0.3287145293056902,Medium,147.92,0.5
A01246,450,team,Europe,marketing_agency,0.327025632753509,Medium,147.16,0.5
A00180,240,team,North America,tech_startup,0.6113623983666117,High,146.73,0.5
A00500,240,team,North America,ecommerce,0.6045326310884599,High,145.09,0.5
A00536,240,team,Asia,real_estate,0.6035531065465976,High,144.85,0.5
A00698,240,team,Asia,tech_startup,0.6020100728022324,High,144.48,0.5
A00332,450,team,North America,marketing_agency,0.3123770881477378,Medium,140.57,0.5
A00883,240,team,North America,education,0.5638003548911792,High,135.31,0.5
A00064,450,team,North America,marketing_agency,0.2963255326515055,Medium,133.35,0.5
A01155,240,team,North America,tech_startup,0.5522577255106503,High,132.54,0.5
A01724,450,team,Europe,marketing_agency,0.2867887197061952,Medium,129.05,0.5
A00338,450,team,Asia,ecommerce,0.2838092597485912,Medium,127.71,0.5
A01529,450,team,North America,real_estate,0.2768039177216186,Medium,124.56,0.5
A00069,450,team,Europe,tech_startup,0.2751359594738016,Medium,123.81,0.5
A01714,450,team,North America,media,0.270961394907539,Medium,121.93,0.5
A01780,450,team,Europe,ecommerce,0.2664521711491902,Medium,119.9,0.5
A01165,450,team,North America,real_estate,0.2661300910376078,Medium,119.76,0.5
A01349,450,team,Asia,real_estate,0.2654371450263308,Medium,119.45,0.5
A01982,450,team,Asia,marketing_agency,0.2637126618042366,Medium,118.67,0.5
A00960,450,team,Latin America,ecommerce,0.2624278446488669,Medium,118.09,0.5
A01684,300,team,North America,marketing_agency,0.3883088201345908,Medium,116.49,0.5
A01693,300,team,North America,marketing_agency,0.3816158957306006,Medium,114.48,0.5
A00231,180,team,Asia,education,0.6323537621727896,High,113.82,0.5
A00879,450,team,Asia,tech_startup,0.251914677869624,Medium,113.36,0.5
A00370,450,team,Asia,media,0.2487198291655759,Low,111.92,0.5
A00433,450,team,North America,real_estate,0.2472500601322474,Low,111.26,0.5
A00172,450,team,Europe,real_estate,0.2463424132970604,Low,110.85,0.5
A01786,180,team,Asia,ecommerce,0.6042981907619471,High,108.77,0.5
A00799,450,team,North America,marketing_agency,0.240938320174321,Low,108.42,0.5
A01289,450,team,Europe,media,0.2398331314857875,Low,107.92,0.5
