note_id,deal_id,account_id,note_date,note_text
N00001,D00001,A00670,2026-02-07,Prospect liked the template library and fast export workflow.
N00002,D00001,A00670,2026-02-13,Customer responded well to collaboration features and ease of use.
N00003,D00001,A00670,2026-02-25,Prospect liked the template library and fast export workflow.
N00004,D00002,A01490,2025-05-26,Prospect liked the product but said Canva has stronger template variety.
N00005,D00003,A01898,2025-07-10,Buyer saw strong value in the AI-assisted design tools.
N00006,D00004,A01675,2025-05-31,Prospect liked the product but said Adobe Express has stronger template variety.
N00007,D00005,A00221,2025-01-24,Customer raised concerns that Canva is already adopted by the team.
N00008,D00005,A00221,2025-01-28,Customer raised concerns that Canva is already adopted by the team.
N00009,D00005,A00221,2025-02-11,Deal slowed after prospect compared collaboration features with Canva.
N00010,D00006,A00273,2025-04-06,Prospect said onboarding seemed harder than expected for their team.
N00011,D00006,A00273,2025-04-03,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00012,D00006,A00273,2025-04-15,Prospect said onboarding seemed harder than expected for their team.
N00013,D00007,A01178,2026-01-30,Prospect liked the template library and fast export workflow.
N00014,D00007,A01178,2026-01-21,Customer responded well to collaboration features and ease of use.
N00015,D00008,A01273,2026-01-23,Deal slowed after prospect compared collaboration features with Adobe Express.
N00016,D00009,A00279,2025-09-22,Team liked the ease of onboarding and quick time to value.
N00017,D00010,A01464,2025-02-15,Deal slowed after prospect compared collaboration features with Canva.
N00018,D00011,A01972,2026-03-13,Team liked the ease of onboarding and quick time to value.
N00019,D00012,A00816,2025-07-27,Prospect liked the product but said Canva has stronger template variety.
N00020,D00012,A00816,2025-07-26,Deal slowed after prospect compared collaboration features with Canva.
N00021,D00013,A00276,2025-11-25,Customer raised concerns that Figma is already adopted by the team.
N00022,D00013,A00276,2025-12-06,Prospect liked the product but said Figma has stronger template variety.
N00023,D00014,A01005,2026-02-25,Prospect liked the template library and fast export workflow.
N00024,D00014,A01005,2026-02-02,Customer responded well to collaboration features and ease of use.
N00025,D00015,A00514,2025-02-12,Deal slowed after prospect compared collaboration features with Canva.
N00026,D00015,A00514,2025-01-18,Prospect liked the product but said Canva has stronger template variety.
N00027,D00016,A01112,2025-01-31,Deal slowed after prospect compared collaboration features with Canva.
N00028,D00017,A01823,2025-07-04,Deal slowed after prospect compared collaboration features with Adobe Express.
N00029,D00017,A01823,2025-06-30,Deal slowed after prospect compared collaboration features with Adobe Express.
N00030,D00018,A00923,2025-09-28,Customer responded well to collaboration features and ease of use.
N00031,D00018,A00923,2025-09-10,Customer responded well to collaboration features and ease of use.
N00032,D00019,A00642,2026-04-04,Buyer saw strong value in the AI-assisted design tools.
N00033,D00019,A00642,2026-03-15,Team liked the ease of onboarding and quick time to value.
N00034,D00020,A00505,2025-03-13,Prospect liked the template library and fast export workflow.
N00035,D00020,A00505,2025-02-25,Buyer saw strong value in the AI-assisted design tools.
N00036,D00021,A00590,2025-07-29,Prospect liked the product but said Figma has stronger template variety.
N00037,D00021,A00590,2025-08-16,Prospect liked the product but said Figma has stronger template variety.
N00038,D00022,A00772,2025-05-27,Customer raised concerns that Canva is already adopted by the team.
N00039,D00022,A00772,2025-05-20,Prospect liked the product but said Canva has stronger template variety.
N00040,D00022,A00772,2025-05-10,Prospect liked the product but said Canva has stronger template variety.
N00041,D00023,A01265,2026-01-16,Customer responded well to collaboration features and ease of use.
N00042,D00024,A01677,2025-02-22,Prospect liked the template library and fast export workflow.
N00043,D00025,A00740,2025-04-24,Team liked the ease of onboarding and quick time to value.
N00044,D00026,A00675,2025-07-25,Deal slowed after prospect compared collaboration features with Canva.
N00045,D00026,A00675,2025-07-10,Customer raised concerns that Canva is already adopted by the team.
N00046,D00027,A01260,2025-03-02,Customer responded well to collaboration features and ease of use.
N00047,D00028,A01014,2025-07-15,Prospect said onboarding seemed harder than expected for their team.
N00048,D00028,A01014,2025-07-16,Prospect said onboarding seemed harder than expected for their team.
N00049,D00028,A01014,2025-07-08,Prospect said onboarding seemed harder than expected for their team.
N00050,D00029,A00128,2025-09-21,Deal slowed after prospect compared collaboration features with Canva.
N00051,D00030,A00503,2025-01-22,Prospect said onboarding seemed harder than expected for their team.
N00052,D00031,A01224,2025-02-19,Customer responded well to collaboration features and ease of use.
N00053,D00032,A01986,2026-03-20,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00054,D00033,A00902,2026-01-08,Customer raised concerns that Canva is already adopted by the team.
N00055,D00034,A00543,2026-03-13,Prospect liked the template library and fast export workflow.
N00056,D00035,A01526,2025-09-01,Team liked the ease of onboarding and quick time to value.
N00057,D00035,A01526,2025-09-05,Team liked the ease of onboarding and quick time to value.
N00058,D00036,A01674,2025-02-23,Customer raised concerns that Adobe Express is already adopted by the team.
N00059,D00036,A01674,2025-02-04,Customer raised concerns that Adobe Express is already adopted by the team.
N00060,D00037,A00492,2026-01-02,Team liked the ease of onboarding and quick time to value.
N00061,D00037,A00492,2025-12-19,Team liked the ease of onboarding and quick time to value.
N00062,D00038,A01045,2025-06-07,Buyer saw strong value in the AI-assisted design tools.
N00063,D00039,A01258,2025-12-02,Customer responded well to collaboration features and ease of use.
N00064,D00039,A01258,2025-11-19,Buyer saw strong value in the AI-assisted design tools.
N00065,D00040,A00714,2025-09-28,Team liked the ease of onboarding and quick time to value.
N00066,D00040,A00714,2025-09-23,Prospect liked the template library and fast export workflow.
N00067,D00041,A00791,2025-04-18,Deal slowed after prospect compared collaboration features with Canva.
N00068,D00042,A01667,2026-03-03,Prospect said onboarding seemed harder than expected for their team.
N00069,D00042,A01667,2026-02-16,Prospect said onboarding seemed harder than expected for their team.
N00070,D00043,A00416,2025-07-05,Customer responded well to collaboration features and ease of use.
N00071,D00043,A00416,2025-07-06,Buyer saw strong value in the AI-assisted design tools.
N00072,D00043,A00416,2025-07-19,Team liked the ease of onboarding and quick time to value.
N00073,D00044,A00148,2025-06-23,Prospect liked the product but said Piktochart has stronger template variety.
N00074,D00045,A00970,2025-06-03,Team liked the ease of onboarding and quick time to value.
N00075,D00045,A00970,2025-05-30,Buyer saw strong value in the AI-assisted design tools.
N00076,D00046,A00029,2025-05-26,Deal slowed after prospect compared collaboration features with Canva.
N00077,D00047,A01385,2025-10-04,Deal slowed after prospect compared collaboration features with Canva.
