cancellation_id,account_id,cancellation_date,tenure_months,refund_requested,cancellation_reason_text,churned_revenue,reason_type,category,subcategory,matched_terms,confidence
C00001,A00014,2025-01-29,5,False,User moved to Adobe Express for familiarity and existing workflows.,450,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00002,A00032,2026-02-25,7,False,Account cancelled due to pricing concerns relative to usage.,36,pricing,Commercial,pricing_concerns,pricing,0.6
C00003,A00053,2025-09-25,15,False,Account showed weak adoption and limited ongoing engagement.,48,low_usage,Operational,onboarding_confusion,adoption,0.6
C00004,A00054,2025-07-14,5,False,Account showed weak adoption and limited ongoing engagement.,36,low_usage,Operational,onboarding_confusion,adoption,0.6
C00005,A00080,2025-09-02,7,False,Account churned after preferring a competitor's template ecosystem.,48,competitor_switch,Product,missing_templates,template,0.6
C00006,A00096,2025-12-31,19,True,Customer said the subscription cost no longer felt justified.,36,pricing,Commercial,pricing_concerns,cost,0.6
C00007,A00100,2025-05-22,1,False,Customer reported repeated performance issues and slow editing experience.,180,performance,Product,performance_reliability,"performance, slow",0.7
C00008,A00101,2025-09-08,16,False,User cited budget pressure and reduced willingness to renew.,36,pricing,Commercial,pricing_concerns,budget,0.6
C00009,A00107,2025-06-05,13,True,User moved to Adobe Express for familiarity and existing workflows.,48,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00010,A00113,2026-01-05,1,False,User cited budget pressure and reduced willingness to renew.,36,pricing,Commercial,pricing_concerns,budget,0.6
C00011,A00119,2025-04-09,3,False,Account showed weak adoption and limited ongoing engagement.,12,low_usage,Operational,onboarding_confusion,adoption,0.6
C00012,A00125,2026-02-18,4,False,User cited budget pressure and reduced willingness to renew.,60,pricing,Commercial,pricing_concerns,budget,0.6
C00013,A00137,2025-12-30,12,False,User moved to Adobe Express for familiarity and existing workflows.,48,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00014,A00146,2025-08-21,4,False,Account showed weak adoption and limited ongoing engagement.,24,low_usage,Operational,onboarding_confusion,adoption,0.6
C00015,A00180,2025-10-02,1,False,Customer said the subscription cost no longer felt justified.,240,pricing,Commercial,pricing_concerns,cost,0.6
C00016,A00189,2025-09-01,4,False,Account churned after preferring a competitor's template ecosystem.,120,competitor_switch,Product,missing_templates,template,0.6
C00017,A00199,2025-07-19,13,True,User cited budget pressure and reduced willingness to renew.,150,pricing,Commercial,pricing_concerns,budget,0.6
C00018,A00224,2025-12-27,5,False,User cited budget pressure and reduced willingness to renew.,12,pricing,Commercial,pricing_concerns,budget,0.6
C00019,A00231,2025-08-30,15,False,Customer switched to Canva because the broader team already uses it.,180,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00020,A00233,2026-01-05,23,False,Account churned after unresolved speed and reliability complaints.,120,performance,Operational,support_quality,unresolved,0.6
C00021,A00243,2025-01-10,1,False,Account churned after preferring a competitor's template ecosystem.,150,competitor_switch,Product,missing_templates,template,0.6
C00022,A00245,2025-01-21,3,True,Account churned after unresolved speed and reliability complaints.,24,performance,Operational,support_quality,unresolved,0.6
C00023,A00251,2025-01-30,1,False,Account showed weak adoption and limited ongoing engagement.,36,low_usage,Operational,onboarding_confusion,adoption,0.6
C00024,A00253,2025-01-14,11,False,User did not create enough projects to justify the subscription.,24,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00025,A00258,2026-03-08,3,True,User cited budget pressure and reduced willingness to renew.,36,pricing,Commercial,pricing_concerns,budget,0.6
C00026,A00265,2025-09-29,6,False,User moved to Adobe Express for familiarity and existing workflows.,12,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00027,A00272,2025-08-19,17,False,Account churned after preferring a competitor's template ecosystem.,36,competitor_switch,Product,missing_templates,template,0.6
C00028,A00277,2025-09-10,3,False,Customer reported repeated performance issues and slow editing experience.,300,performance,Product,performance_reliability,"performance, slow",0.7
C00029,A00308,2026-03-09,11,False,Account showed weak adoption and limited ongoing engagement.,48,low_usage,Operational,onboarding_confusion,adoption,0.6
C00030,A00311,2026-03-08,2,False,User moved to Adobe Express for familiarity and existing workflows.,450,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
