ticket_id,account_id,created_date,ticket_type,priority,resolution_hours,csat_score,ticket_summary,account_revenue
T00001,A00001,2025-03-04,performance_issue,medium,50,3,User reported slow loading times in the editor.,12
T00002,A00003,2025-06-01,performance_issue,low,26,3,Customer experienced lag during export and preview.,90
T00003,A00003,2025-06-19,performance_issue,low,11,4,Team reported performance issues on large collaborative projects.,90
T00004,A00003,2025-01-12,feature_request,high,89,3,Team requested deeper collaboration permissions.,90
T00005,A00003,2025-09-22,bug,medium,26,4,Customer hit a recurring editor crash while saving a design.,90
T00006,A00003,2025-05-28,performance_issue,high,31,1,Team reported performance issues on large collaborative projects.,90
T00007,A00004,2026-02-10,bug,low,1,3,User reported export failing on large files.,12
T00008,A00005,2025-08-03,feature_request,medium,41,2,User asked for advanced brand kit controls.,0
T00009,A00007,2025-05-15,feature_request,low,10,4,User asked for advanced brand kit controls.,48
T00010,A00008,2025-06-24,performance_issue,medium,82,3,User reported slow loading times in the editor.,0
T00011,A00010,2025-02-12,feature_request,medium,10,3,Team requested deeper collaboration permissions.,0
T00012,A00011,2025-10-27,feature_request,low,17,5,Team requested deeper collaboration permissions.,12
T00013,A00011,2025-07-20,bug,low,11,4,Bug reported in image upload flow causing failed imports.,12
T00014,A00013,2025-01-19,feature_request,high,57,1,Customer requested more premium templates for social campaigns.,150
T00015,A00013,2025-11-18,feature_request,medium,57,3,User asked for advanced brand kit controls.,150
T00016,A00013,2025-04-23,bug,medium,63,2,Bug reported in image upload flow causing failed imports.,150
T00017,A00013,2025-09-29,billing,low,18,4,Billing issue raised after duplicate invoice appeared.,150
T00018,A00013,2025-07-15,billing,medium,64,4,User reported confusion about plan renewal pricing.,150
T00019,A00014,2025-11-11,feature_request,medium,62,4,Team requested deeper collaboration permissions.,450
T00020,A00014,2025-04-16,feature_request,medium,38,2,User asked for advanced brand kit controls.,450
T00021,A00014,2025-11-28,performance_issue,low,39,2,User reported slow loading times in the editor.,450
T00022,A00014,2025-01-12,bug,medium,25,4,User reported export failing on large files.,450
T00023,A00014,2025-04-10,bug,high,36,3,Bug reported in image upload flow causing failed imports.,450
T00024,A00014,2025-09-04,performance_issue,medium,68,1,Team reported performance issues on large collaborative projects.,450
T00025,A00015,2026-01-21,billing,low,9,5,User reported confusion about plan renewal pricing.,0
T00026,A00015,2025-11-12,bug,medium,18,4,User reported export failing on large files.,0
T00027,A00015,2025-01-09,bug,low,7,5,User reported export failing on large files.,0
T00028,A00016,2025-09-24,performance_issue,medium,62,1,Team reported performance issues on large collaborative projects.,12
T00029,A00017,2025-10-14,performance_issue,medium,60,3,User reported slow loading times in the editor.,24
T00030,A00017,2025-02-07,bug,medium,45,3,Bug reported in image upload flow causing failed imports.,24
T00031,A00018,2025-05-13,billing,low,23,3,User reported confusion about plan renewal pricing.,0
T00032,A00019,2025-04-30,bug,medium,14,3,Customer hit a recurring editor crash while saving a design.,36
T00033,A00019,2025-10-15,billing,high,80,1,Customer asked about an unexpected billing charge.,36
T00034,A00019,2025-02-17,bug,low,19,4,Bug reported in image upload flow causing failed imports.,36
T00035,A00019,2025-04-21,feature_request,high,76,2,Team requested deeper collaboration permissions.,36
T00036,A00021,2026-01-09,performance_issue,low,16,4,User reported slow loading times in the editor.,24
T00037,A00022,2026-01-09,bug,low,5,5,Customer hit a recurring editor crash while saving a design.,36
T00038,A00023,2026-02-18,bug,high,87,1,Bug reported in image upload flow causing failed imports.,180
T00039,A00023,2026-01-24,feature_request,medium,40,4,Team requested deeper collaboration permissions.,180
T00040,A00023,2025-09-28,bug,low,13,5,Bug reported in image upload flow causing failed imports.,180
T00041,A00024,2025-07-14,billing,medium,60,3,Billing issue raised after duplicate invoice appeared.,12
T00042,A00027,2025-10-31,feature_request,low,22,3,Customer requested more premium templates for social campaigns.,300
T00043,A00029,2025-12-06,feature_request,medium,55,4,Team requested deeper collaboration permissions.,450
T00044,A00030,2025-03-23,feature_request,low,22,3,Team requested deeper collaboration permissions.,180
T00045,A00030,2025-10-02,billing,low,6,5,Customer asked about an unexpected billing charge.,180
T00046,A00030,2025-04-22,feature_request,medium,22,4,Customer requested more premium templates for social campaigns.,180
T00047,A00030,2025-04-18,feature_request,low,8,4,Customer requested more premium templates for social campaigns.,180
T00048,A00030,2025-09-21,bug,medium,63,4,Customer hit a recurring editor crash while saving a design.,180
T00049,A00031,2025-12-15,performance_issue,low,27,4,Customer experienced lag during export and preview.,12
T00050,A00031,2025-11-24,feature_request,low,16,4,User asked for advanced brand kit controls.,12
T00051,A00031,2025-07-24,performance_issue,medium,95,1,Customer experienced lag during export and preview.,12
T00052,A00033,2025-04-23,bug,low,11,5,Customer hit a recurring editor crash while saving a design.,0
T00053,A00035,2025-05-24,bug,medium,42,4,Bug reported in image upload flow causing failed imports.,90
T00054,A00035,2025-09-01,billing,medium,49,4,User reported confusion about plan renewal pricing.,90
T00055,A00036,2025-04-29,bug,high,42,1,Customer hit a recurring editor crash while saving a design.,180
T00056,A00036,2025-06-15,performance_issue,medium,52,1,Customer experienced lag during export and preview.,180
T00057,A00036,2025-06-18,bug,low,22,5,Bug reported in image upload flow causing failed imports.,180
T00058,A00036,2025-12-25,feature_request,medium,28,4,Team requested deeper collaboration permissions.,180
T00059,A00037,2025-10-03,bug,low,16,4,Bug reported in image upload flow causing failed imports.,0
T00060,A00040,2025-02-14,billing,medium,66,3,Billing issue raised after duplicate invoice appeared.,36
T00061,A00041,2025-11-22,bug,medium,16,4,Customer hit a recurring editor crash while saving a design.,24
T00062,A00041,2025-03-22,feature_request,medium,57,4,User asked for advanced brand kit controls.,24
T00063,A00041,2026-03-06,performance_issue,high,87,1,Team reported performance issues on large collaborative projects.,24
T00064,A00042,2026-02-09,feature_request,low,21,3,Team requested deeper collaboration permissions.,0
T00065,A00044,2025-08-06,bug,low,20,4,Customer hit a recurring editor crash while saving a design.,0
T00066,A00044,2025-05-18,billing,low,11,3,Billing issue raised after duplicate invoice appeared.,0
T00067,A00044,2025-02-06,performance_issue,medium,74,2,Customer experienced lag during export and preview.,0
T00068,A00047,2025-06-09,billing,low,21,4,Customer asked about an unexpected billing charge.,36
T00069,A00047,2025-09-29,bug,medium,59,3,Bug reported in image upload flow causing failed imports.,36
T00070,A00048,2026-01-05,billing,low,14,3,Customer asked about an unexpected billing charge.,90
T00071,A00048,2025-04-16,bug,medium,14,4,Customer hit a recurring editor crash while saving a design.,90
T00072,A00048,2026-02-23,bug,high,118,3,User reported export failing on large files.,90
T00073,A00049,2025-07-22,bug,low,2,3,User reported export failing on large files.,300
T00074,A00049,2026-01-24,billing,medium,12,2,Billing issue raised after duplicate invoice appeared.,300
T00075,A00050,2025-09-01,bug,medium,49,4,Bug reported in image upload flow causing failed imports.,60
T00076,A00050,2025-03-30,feature_request,low,21,3,User asked for advanced brand kit controls.,60
T00077,A00050,2025-09-26,billing,medium,26,2,User reported confusion about plan renewal pricing.,60
T00078,A00050,2026-01-31,bug,medium,35,3,Bug reported in image upload flow causing failed imports.,60
T00079,A00051,2025-07-15,performance_issue,high,119,1,Customer experienced lag during export and preview.,90
T00080,A00051,2025-11-18,performance_issue,low,40,2,Team reported performance issues on large collaborative projects.,90
T00081,A00051,2025-12-02,bug,low,9,4,Bug reported in image upload flow causing failed imports.,90
T00082,A00052,2026-02-16,billing,medium,14,2,Billing issue raised after duplicate invoice appeared.,24
T00083,A00053,2025-05-21,bug,low,17,3,User reported export failing on large files.,48
T00084,A00055,2025-06-03,feature_request,low,7,3,Team requested deeper collaboration permissions.,24
T00085,A00058,2026-03-06,bug,medium,8,2,Customer hit a recurring editor crash while saving a design.,180
T00086,A00058,2026-01-18,bug,low,8,4,User reported export failing on large files.,180
T00087,A00060,2025-07-24,feature_request,low,12,5,User asked for advanced brand kit controls.,0
