account_id,company_size,industry,region,plan_type,signup_date,monthly_revenue
A00001,small_business,tech_startup,Asia,pro,2025-10-16,12
A00002,solo,ecommerce,North America,pro,2024-01-26,36
A00003,small_business,media,North America,team,2024-09-07,90
A00004,mid_market,ecommerce,North America,pro,2024-05-22,12
A00005,solo,education,North America,free,2025-11-23,0
A00006,small_business,ecommerce,North America,pro,2026-01-28,12
A00007,small_business,media,North America,pro,2025-08-27,48
A00008,small_business,ecommerce,Europe,free,2024-02-02,0
A00009,solo,tech_startup,Latin America,pro,2024-01-31,12
A00010,solo,ecommerce,Europe,free,2024-08-11,0
A00011,solo,education,North America,pro,2024-08-26,12
A00012,solo,media,North America,free,2025-07-28,0
A00013,small_business,ecommerce,Latin America,team,2024-07-22,150
A00014,mid_market,tech_startup,Europe,team,2024-08-13,450
A00015,solo,ecommerce,North America,free,2025-08-26,0
A00016,small_business,marketing_agency,Asia,pro,2024-10-11,12
A00017,solo,real_estate,North America,pro,2026-02-16,24
A00018,solo,tech_startup,Asia,free,2025-12-15,0
A00019,solo,tech_startup,Asia,pro,2025-03-08,36
A00020,small_business,ecommerce,North America,free,2024-10-11,0
A00021,mid_market,real_estate,North America,pro,2024-06-08,24
A00022,solo,marketing_agency,Asia,pro,2026-02-20,36
A00023,mid_market,education,North America,team,2024-04-14,180
A00024,small_business,real_estate,Asia,pro,2025-01-24,12
A00025,small_business,education,North America,free,2025-01-02,0
A00026,solo,real_estate,North America,free,2024-12-18,0
A00027,mid_market,marketing_agency,North America,team,2025-09-10,300
A00028,solo,ecommerce,North America,free,2024-02-14,0
A00029,mid_market,tech_startup,Europe,team,2026-01-17,450
A00030,mid_market,ecommerce,Asia,team,2025-07-03,180
A00031,mid_market,tech_startup,North America,pro,2025-01-22,12
A00032,solo,education,Asia,pro,2025-07-19,36
A00033,solo,education,North America,free,2025-10-05,0
A00034,solo,marketing_agency,Latin America,free,2025-09-25,0
A00035,small_business,media,North America,team,2025-01-05,90
A00036,mid_market,marketing_agency,Europe,team,2025-12-22,180
A00037,solo,ecommerce,Europe,free,2024-02-16,0
A00038,solo,marketing_agency,Latin America,free,2025-11-08,0
A00039,solo,education,Latin America,free,2024-08-21,0
A00040,small_business,media,North America,pro,2026-03-02,36
A00041,small_business,real_estate,Europe,pro,2024-03-22,24
A00042,solo,tech_startup,North America,free,2024-04-13,0
A00043,solo,real_estate,Europe,free,2025-01-24,0
A00044,small_business,marketing_agency,Europe,free,2024-10-11,0
A00045,small_business,marketing_agency,Latin America,free,2025-04-09,0
A00046,solo,ecommerce,Latin America,pro,2025-10-12,36
A00047,solo,real_estate,Asia,pro,2024-06-15,36
A00048,small_business,marketing_agency,North America,team,2024-12-29,90
A00049,mid_market,real_estate,North America,team,2025-11-17,300
A00050,small_business,tech_startup,Asia,team,2025-12-19,60
A00051,small_business,ecommerce,North America,team,2025-09-15,90
A00052,small_business,ecommerce,North America,pro,2025-06-30,24
A00053,solo,ecommerce,Europe,pro,2024-06-16,48
A00054,small_business,marketing_agency,Asia,pro,2025-01-23,36
A00055,solo,media,Europe,pro,2025-10-17,24
A00056,small_business,real_estate,North America,pro,2025-12-02,36
A00057,solo,marketing_agency,Latin America,free,2026-02-25,0
A00058,mid_market,real_estate,Asia,team,2026-03-05,180
A00059,small_business,education,North America,pro,2024-08-22,12
A00060,solo,ecommerce,Europe,free,2024-11-19,0
A00061,mid_market,tech_startup,Latin America,team,2025-02-14,300
A00062,solo,tech_startup,North America,pro,2024-03-08,24
A00063,mid_market,tech_startup,North America,team,2025-08-03,300
A00064,mid_market,marketing_agency,North America,team,2024-08-05,450
A00065,mid_market,media,Europe,pro,2025-02-09,48
A00066,small_business,tech_startup,North America,pro,2024-05-26,36
A00067,mid_market,media,Europe,team,2024-05-22,240
A00068,small_business,marketing_agency,Asia,team,2026-02-01,120
A00069,mid_market,tech_startup,Europe,team,2026-02-03,450
A00070,small_business,real_estate,Asia,team,2025-08-20,150
A00071,mid_market,marketing_agency,North America,pro,2025-01-05,24
A00072,small_business,ecommerce,Europe,pro,2024-05-21,48
A00073,solo,real_estate,North America,free,2024-04-03,0
A00074,mid_market,marketing_agency,North America,team,2026-02-12,180
A00075,small_business,ecommerce,Europe,free,2024-04-22,0
A00076,solo,education,Europe,pro,2024-06-05,24
A00077,small_business,tech_startup,Europe,pro,2025-11-27,48
A00078,small_business,marketing_agency,North America,free,2025-09-02,0
A00079,solo,tech_startup,Asia,pro,2024-03-06,48
A00080,small_business,ecommerce,North America,pro,2025-01-25,48
A00081,small_business,media,Europe,pro,2025-06-25,36
A00082,mid_market,media,Europe,team,2025-07-20,180
A00083,small_business,marketing_agency,North America,team,2025-11-27,60
A00084,solo,ecommerce,North America,free,2025-11-29,0
A00085,mid_market,media,Europe,pro,2025-07-03,36
A00086,small_business,education,North America,pro,2026-02-26,36
A00087,small_business,real_estate,Europe,free,2024-04-24,0
A00088,small_business,real_estate,Europe,team,2024-10-27,150
A00089,small_business,ecommerce,North America,pro,2024-06-10,48
A00090,solo,real_estate,Latin America,pro,2024-01-04,36
A00091,small_business,real_estate,Europe,pro,2025-05-27,24
A00092,mid_market,marketing_agency,Latin America,team,2025-06-03,180
A00093,solo,ecommerce,North America,free,2025-10-02,0
A00094,solo,media,North America,free,2024-11-01,0
A00095,mid_market,ecommerce,Asia,team,2025-10-16,240
A00096,solo,media,Europe,pro,2024-06-05,36
A00097,small_business,tech_startup,North America,free,2026-02-19,0
A00098,small_business,tech_startup,Latin America,pro,2024-06-14,12
